指標編號,內容,面向,條文註解,實施單位建議,政府機關可行動作建議,南投縣施政案例
1.1,在西元2030年前，消除所有地方的極端貧窮，目前的定義為每日的生活費不到1.25美元。,社會,例如補助低收入戶、提供糧食券、設立社會安全網。,社會及家庭署、非營利組織、社會與勞動局,發放生活補助、建置社會安全網、整合社會福利資源,低收入戶及中低收入戶、中低老人生活津貼、南投縣好食券、弱勢家庭兒童及少年緊急生活扶助、心障礙生活補助、急難救助
1.2,在西元2030年前，依據國家的人口統計數字，將各個年齡層的貧窮男女與兒童人數減少一半。,社會,例如補助低收入戶、提供糧食券、設立社會安全網。,社會及家庭署、非營利組織、社會及勞動局	,發放生活補助、建置社會安全網、整合社會福利資源,0至未滿2歲育兒津貼、弱勢家庭兒童及少年緊急生活扶助、兒少生活扶助、兒少及家庭社區支持服務方案(守護家庭小衛星)、特殊境遇家庭扶助
1.3,對所有的人，包括底層的人，實施適合國家的社會保護制度措施，到了西元2030年，範圍涵蓋貧窮與弱勢族群。,社會,例如補助低收入戶、提供糧食券、設立社會安全網。,社會及家庭署、非營利組織、社會及勞動局	,發放生活補助、建置社會安全網、整合社會福利資源,社會救助及低收入戶補助、中低收入老人生活津貼、社會安全網計畫、食物銀行、急難救助
1.4,在西元2030年前，確保所有的男男女女，尤其是貧窮與弱勢族群，在經濟資源、基本服務、以及土地與其他形式的財產、繼承、天然資源、新科技與財務服務（包括微型貸款）都有公平的權利與取得權。,經濟,例如補助低收入戶、提供糧食券、設立社會安全網。,經濟部、財政部、投資審議委員會、財政處、社會及勞動局,提供融資平台、制定中小企業扶植政策,南投縣青年創業貸款及中小企業融資一般貸款、身心障礙者創業貸款利息補貼、微型創業鳳凰貸款（勞動部標準計畫）
1.5,在西元2030年前，讓貧窮與弱勢族群具有災後復原能力，減少他們暴露於氣候極端事件與其他社經與環境災害的頻率與受傷害的嚴重度。,生態,例如補助低收入戶、提供糧食券、設立社會安全網。,環境部、中央氣象署、消防署、消防局、社會及勞動局、農業處,制定氣候調適策略、強化災防系統與早期預警,南投縣地區災害防救計畫、南投縣災害應變中心作業要點、南投縣避難收容處所開設及管理計畫、草屯鎮地區災害防救計畫、南投縣自主防災社區訓練管理執行計畫
1.a,確保各個地方的資源能夠大幅動員，包括改善發展合作，為開發中國家提供妥善且可預測的方法，尤其是最低度開發國家（以下簡稱LDCs），以實施計畫與政策，全面消除它們國內的貧窮。,經濟,例如補助低收入戶、提供糧食券、設立社會安全網。,經濟部、財政部、投資審議委員會、財政處、社會及勞動局,提供融資平台、制定中小企業扶植政策,低收入戶及中低收入戶、中低老人生活津貼、南投縣好食券、弱勢家庭兒童及少年緊急生活扶助、心障礙生活補助、急難救助.微型創業鳳凰貸款、中小企業融資貸款、南投縣地方產業創新研發推動計畫（地方型SBIR）、財團法人中小企業信用保證基金
1.b,依據考量到貧窮與兩性的發展策略，建立國家的、區域的與國際層級的妥善政策架構，加速消除貧窮行動。,社會,例如補助低收入戶、提供糧食券、設立社會安全網。,社會及家庭署、地方政府社會局、非營利組織、性別平等委員會、社會及勞動局,發放生活補助、建置社會安全網、整合社會福利資源,南投縣婦女福利與權益工作計畫、南投縣推展婦女福利及性別平等業務補助計畫
